topic,cluster,x,y
health,6,-0.5776778,2.1300545
protein,4,13.0774145,13.020068
patient,3,3.8695948,-1.2690994
protein,4,10.894097,12.057886
protein,4,13.625948,8.802263
protein,4,12.229597,12.3982115
patient,3,8.147451,-3.5128024
drug,0,8.165837,11.643473
cell,2,13.191701,2.934891
cell,2,13.315293,3.5481396
sample,5,5.6685214,3.3010619
vaccine,1,9.619823,6.8083434
cell,2,12.782456,4.6283507
sample,5,5.2266736,2.1094716
protein,4,12.519157,12.215451
cell,2,14.560367,3.7573693
sample,5,5.462306,1.970824
vaccine,1,7.815247,7.6520467
health,6,9.6660595,13.085316
sample,5,6.5675316,3.1868212
patient,3,3.7721007,-1.2085801
protein,4,10.533374,9.941275
protein,4,13.381252,12.987886
cell,2,14.183439,6.4349627
cell,2,14.353708,5.6769176
protein,4,11.876143,11.198196
vaccine,1,8.398409,7.8936615
cell,2,12.428468,3.5985498
protein,4,11.628108,13.015356
sample,5,6.193906,0.20308241
patient,1,6.7012014,-0.23678127
health,6,-1.8294598,4.3607755
cell,2,14.406004,3.5583675
cell,2,13.748186,7.007001
cell,3,12.078188,2.0941536
patient,3,7.374573,-1.7075448
patient,3,5.1242685,-1.9577925
sample,5,6.6277843,2.0247838
patient,2,11.704867,1.8864596
drug,0,6.5972867,10.710457
cell,2,14.503162,4.1387973
sample,5,3.7285807,2.957897
cell,2,13.320252,3.3816605
cell,2,14.676753,3.745612
sample,3,6.061122,0.6255326
health,6,2.0357895,-0.027104609
health,6,-0.028769752,4.0363545
drug,0,7.2452793,11.579671
patient,3,6.7434287,-2.7878296
health,6,-0.14630753,4.0403237
vaccine,1,6.9223957,6.0144067
cell,2,11.9385805,3.6617713
patient,3,6.844356,-1.3821865
health,6,-1.6167344,4.707568
patient,3,9.232308,-4.2057467
sample,5,5.1999927,2.0719059
health,6,9.084741,13.268848
health,6,-0.784063,2.195274
cell,2,14.112484,6.9673014
protein,4,10.729127,12.9531355
protein,4,12.492402,12.684792
patient,3,8.534473,-3.3549237
health,6,0.00023195929,1.554086
protein,4,7.3151507,3.4922986
