topic,cluster,x,y
health,6,5.3298874,7.3937087
health,6,-1.5846703,4.2498336
patient,0,6.621821,10.528493
protein,4,7.382529,3.5657134
vaccine,1,8.166454,7.248904
sample,5,5.8233867,1.0672562
vaccine,1,7.11207,7.6853633
health,6,-0.035208333,4.0070105
cell,2,12.131145,3.7780805
sample,5,4.2496977,2.7036326
protein,4,12.063641,11.503381
drug,0,8.22483,11.650229
protein,2,13.716011,8.012171
protein,4,13.4529915,13.621505
patient,3,7.3133764,-3.1429098
patient,0,11.559079,2.8487234
vaccine,1,8.020989,6.6347265
sample,5,6.974121,3.1586957
protein,4,13.289237,13.392703
drug,0,7.632364,11.655682
patient,3,8.89845,-3.9033935
health,6,0.6154611,3.777358
health,6,-0.36365154,1.856465
protein,4,13.095236,11.816826
cell,2,14.810625,3.5387018
health,6,-3.0624907,4.480997
cell,2,12.466538,2.3638098
vaccine,1,6.611534,7.545221
sample,5,5.549431,1.7371544
patient,3,8.908591,-3.908831
protein,4,9.980741,12.970041
cell,2,13.647694,3.4789631
sample,5,5.334506,2.9913626
sample,5,6.2620444,2.7372642
sample,5,5.173021,2.1071
health,6,-0.4051696,4.1294646
vaccine,1,9.946543,6.706085
patient,3,8.018274,-3.6075866
patient,3,9.057237,-3.1986098
health,6,-0.09883407,1.6380033
cell,2,14.123439,3.4896574
patient,3,7.6837926,-3.3528073
vaccine,1,8.963582,7.0751724
sample,5,6.121362,0.6074335
cell,2,11.917999,5.418471
protein,2,13.796322,8.273968
patient,3,7.7561827,-3.4697714
health,6,-3.3201559,4.799262
health,6,-2.3551369,4.061753
health,6,1.3249772,0.5032887
health,3,2.8751357,-0.63812995
health,3,2.8012316,-0.57669854
health,6,-1.098262,4.704544
protein,4,11.934163,11.274868
vaccine,1,6.9275093,6.3180456
health,6,-0.89967275,3.4257448
health,6,-1.5621941,2.953364
sample,5,5.8346534,2.3695638
cell,2,13.10965,3.1420698
vaccine,1,7.143948,6.5728965
vaccine,0,5.9419866,7.7512665
drug,0,5.1446557,10.658435
protein,4,13.045825,13.0877695
vaccine,1,6.7080455,7.58164
patient,0,11.788555,2.409095
sample,5,3.3835795,3.1399293
sample,5,5.613257,2.0490637
vaccine,1,9.238265,8.56771
health,6,-2.4445212,4.191337
sample,5,4.194024,2.7249994
cell,2,14.321461,3.9487622
patient,3,3.8539703,-1.258345
vaccine,1,10.096541,6.5856075
vaccine,1,7.855523,7.8527374
protein,2,9.758895,12.642203
protein,4,12.069061,11.187135
cell,2,14.256534,5.97634
sample,3,6.2183642,0.4254743
vaccine,1,8.228922,6.223284
health,6,1.0454901,0.7195568
sample,5,5.150302,2.1760755
protein,4,12.488398,13.267822
vaccine,1,7.785428,7.6240997
protein,4,12.796675,12.631591
protein,4,11.535168,13.01607
sample,5,5.7745366,2.4673612
protein,4,13.308707,9.843359
sample,5,5.7108107,2.3804042
cell,2,11.982294,3.6641874
health,6,-1.3397218,2.7010458
sample,5,5.189971,2.0855038
patient,3,6.84911,-0.65171295
protein,4,13.4509945,9.407852
health,6,-0.32426378,4.1283875
sample,5,3.6181316,3.005859
protein,4,13.263095,9.539704
patient,3,7.757464,-3.4504979
cell,2,14.088955,5.5248795
protein,4,10.957975,12.807461
cell,2,13.922353,7.287194
protein,4,13.350616,9.795239
patient,3,8.178863,-2.9603045
vaccine,1,8.2745905,6.325462
patient,3,7.2457266,-3.094857
vaccine,1,6.4484754,7.490249
sample,5,6.3053617,2.5847564
protein,4,13.019365,12.940906
sample,5,5.5327053,2.2847898
cell,2,12.31274,3.5856037
protein,4,12.863693,13.426671
sample,5,5.424997,2.2079067
protein,4,13.501126,13.687365
sample,5,3.2872221,3.1704977
health,6,1.369337,3.5730577
patient,3,11.609311,1.7325199
protein,4,13.388577,9.585869
cell,2,12.750673,3.6201518
cell,2,14.302709,6.1854234
health,6,-0.16018483,4.0748324
vaccine,1,7.3765645,7.735348
protein,4,10.330909,9.755804
health,6,0.086421534,3.8520834
sample,5,5.8662734,3.245406
drug,0,6.3378973,11.649636
protein,1,9.717232,9.13262
health,6,-0.86321694,2.301492
health,6,1.3817238,0.43134817
health,6,-0.95830286,3.4546137
health,6,0.6063814,3.7191112
protein,1,9.730954,9.135924
drug,0,6.96005,9.9876795
patient,3,5.430872,-2.1246011
protein,4,12.577061,12.31395
vaccine,1,9.413248,8.9351015
health,6,-0.29753023,1.8218081
health,6,-1.4988984,4.732709
vaccine,1,7.7781553,7.7535825
health,6,-2.5639307,4.390546
cell,2,14.107072,7.0020065
patient,3,2.665545,-0.29038814
protein,0,8.695438,11.668481
drug,0,11.3574295,4.0470867
drug,0,7.0758624,11.741542
health,6,-2.2348034,3.5058928
protein,4,13.519107,11.635443
patient,3,6.7422924,-0.44508612
protein,4,10.985352,12.80863
protein,4,12.601695,12.149476
health,6,1.6793401,0.23655464
health,6,1.2852842,0.5325588
health,6,-0.6049451,4.115914
protein,4,12.355394,13.025616
vaccine,1,7.8526425,7.9243107
sample,5,5.9301186,3.244755
cell,2,12.796025,2.6578932
patient,3,7.576859,-1.9764545
protein,4,10.612819,12.586572
drug,0,5.5785875,11.15245
sample,5,5.511134,3.662112
health,3,2.6785505,-0.49086422
health,6,1.9391613,0.04006014
drug,1,7.18285,9.646972
sample,5,5.277986,2.3109708
patient,3,9.229712,-4.2048283
protein,4,10.6634445,12.94235
drug,0,5.4967656,11.00835
sample,5,5.6267524,2.3951814
drug,0,10.950951,3.8872929
sample,5,4.0790024,2.8326447
health,6,0.8902907,3.6751034
patient,3,2.869065,-0.62272424
health,6,-2.348035,4.14013
drug,0,6.13946,11.437251
vaccine,1,7.3703427,6.885933
protein,4,13.138423,10.535486
sample,5,6.47247,2.8126464
sample,5,5.163873,2.0434017
drug,0,7.0190268,10.088513
health,6,1.1234851,0.6675373
cell,2,14.674876,3.806873
sample,5,6.7112675,2.9680257
health,6,1.9522451,0.20121862
vaccine,1,10.3056,6.4368258
protein,4,13.343139,9.800857
health,6,-1.1468872,2.5505955
sample,5,6.878709,2.1102974
sample,5,6.7391233,2.0603323
protein,4,10.590336,12.981647
health,6,0.53963137,1.1316856
protein,4,13.274524,9.849783
vaccine,1,9.582721,6.8431544
health,6,0.6074323,1.0633675
protein,4,12.127177,11.57679
protein,4,12.887674,13.093309
drug,0,6.846628,10.281987
patient,3,8.73105,-3.4081197
protein,4,13.380069,12.944287
sample,5,5.608832,1.6511563
cell,2,14.048959,7.338592
health,6,-3.270811,4.7423463
vaccine,1,6.453857,7.5131273
cell,2,14.610429,5.1890965
cell,2,14.2292385,6.5198245
health,3,2.7205584,-0.4837477
drug,0,11.182286,3.7425206
health,6,-2.0491436,3.795955
cell,2,11.29719,5.849325
sample,5,5.799331,2.494837
health,6,-0.8315022,3.4146988
health,6,-1.6178031,4.0160933
cell,2,13.074092,3.6814137
patient,2,11.862596,2.0131872
cell,2,14.697144,3.766386
health,6,0.5118418,3.782612
cell,2,14.117785,6.8882413
cell,2,14.903323,3.4970343
vaccine,1,10.348162,6.410828
vaccine,6,5.843342,7.437238
patient,3,9.148014,-3.404807
health,6,-3.3003788,4.778709
patient,3,8.425815,-3.3642466
sample,5,5.626451,1.5105687
protein,4,13.44883,13.61535
drug,5,6.3719296,3.3714793
protein,4,12.094172,13.075556
sample,5,5.7414026,4.290178
protein,4,12.847395,12.648231
protein,4,10.730099,10.17002
patient,3,8.241453,-3.6675997
cell,0,11.670798,3.7212336
sample,5,6.5990295,2.8727224
patient,3,5.175429,-2.003782
patient,3,8.299783,-3.0447533
health,6,0.9095589,3.654634
health,3,2.8127909,-0.5860791
cell,2,14.099282,6.917972
cell,2,14.312241,6.2035694
health,6,-1.8971597,4.2123218
vaccine,1,9.561416,8.980342
patient,3,8.718247,-3.314542
health,6,-1.144378,4.8808055
health,6,5.1773753,7.318009
cell,2,14.20042,6.493026
health,6,-0.8400596,3.4215395
patient,3,3.0850437,-0.769972
health,6,-1.4285754,3.923577
drug,0,11.418519,3.6708078
health,6,1.3917922,0.8045071
health,6,-2.4571106,3.7536397
vaccine,1,6.780951,7.167432
drug,0,7.898135,11.540621
cell,2,13.9237385,3.0892577
cell,2,14.281725,5.9456058
protein,4,13.415329,10.022443
cell,2,11.768773,5.5222607
protein,4,13.087304,13.118003
patient,2,13.576885,11.336306
protein,4,13.09976,13.339211
patient,3,6.8930945,-1.3760992
health,6,-1.2992198,3.8497832
drug,0,6.515842,11.347224
vaccine,1,10.246007,6.5151434
sample,5,5.9048133,3.3282096
protein,4,12.823528,12.665038
health,6,-0.8432582,4.192147
patient,4,13.540256,11.599664
health,6,0.7727354,3.7021878
patient,2,12.007486,2.1300368
protein,4,13.179504,13.193389
protein,2,13.598835,8.769045
patient,2,8.512283,-2.2821302
vaccine,1,6.7578616,6.1216125
patient,3,9.134688,-3.4514308
drug,1,7.1071186,9.655901
health,6,-2.6001496,4.126647
health,0,0.017925967,3.623789
protein,4,12.560125,11.699663
patient,3,8.761988,-3.8165557
drug,0,6.193726,11.95425
sample,3,6.515343,-0.119535096
drug,0,6.3589635,11.662761
protein,4,11.709181,11.100883
health,0,5.055466,10.545998
protein,4,13.469991,13.642693
vaccine,1,7.8645067,7.15727
cell,2,11.996337,3.6094418
protein,0,8.500597,11.657812
health,2,12.9410305,3.749393
vaccine,1,7.7568707,7.8679023
vaccine,6,5.956378,7.4493146
vaccine,1,7.11042,7.654442
health,6,-1.781547,4.0865145
protein,4,12.346906,12.209488
health,6,-2.2085905,4.048276
protein,4,13.145493,13.211419
health,6,-2.534658,3.8169944
cell,2,11.525995,5.7184677
patient,2,11.577944,1.9821782
drug,0,8.069709,11.626516
protein,4,13.039044,12.487138
drug,0,6.3302636,11.818851
vaccine,1,7.777202,6.606498
drug,0,5.162933,10.697283
patient,3,8.712534,-3.8470018
health,6,-3.2982686,4.769451
health,6,9.704478,13.072212
protein,4,12.455889,12.792515
health,6,1.3911672,0.44885418
patient,3,6.059454,-2.440876
cell,2,11.631438,5.691231
protein,4,11.448323,12.256399
cell,2,13.869202,7.7965655
cell,2,13.441585,3.5198479
health,6,5.0621014,7.3090763
patient,3,5.8596153,-2.343595
protein,4,10.59148,9.997214
patient,3,8.01659,-3.2356908
vaccine,1,7.7721376,7.6419396
cell,2,14.619719,3.6470656
drug,0,6.405032,11.560447
cell,0,11.935454,3.0496385
patient,3,6.2789936,-0.30220926
cell,2,12.0118265,5.3909
protein,2,13.721179,8.1934
drug,0,7.9654007,11.594612
health,6,-1.5954703,3.151365
protein,4,11.7451725,12.143876
protein,1,10.110742,9.536612
patient,3,7.6841416,-2.1432173
protein,4,13.329217,10.120087
protein,4,12.483981,12.1588745
protein,4,10.707379,12.9719925
sample,5,5.8179526,4.4219418
health,6,0.48903796,1.1660311
cell,2,14.2039795,6.102862
sample,5,6.3522477,1.9619913
cell,2,14.054679,7.1801925
cell,2,13.3399515,2.8347633
vaccine,1,9.703974,6.7952433
sample,3,6.542002,-0.12367504
protein,4,11.25586,12.15415
health,6,5.739568,7.44923
vaccine,1,7.8519464,7.885397
patient,2,11.46069,2.057845
vaccine,1,7.939028,6.668922
patient,3,8.322307,-3.75188
cell,0,11.655227,3.6942837
drug,0,7.6900187,11.656531
health,6,-3.2784681,4.761881
drug,0,6.1931906,11.943441
sample,5,5.6875615,1.5053296
cell,2,14.675215,4.792361
protein,4,10.438844,12.982993
vaccine,1,7.747267,6.880547
health,6,-1.1875579,3.611468
drug,0,6.7515383,11.816852
health,6,-3.271351,4.7375097
vaccine,1,10.315437,6.464933
sample,5,5.538731,1.9158303
cell,2,12.420463,2.326706
patient,3,7.179601,-1.7207619
health,6,2.4408317,3.340432
cell,2,14.721039,4.165186
drug,0,6.9854693,10.13831
health,6,-0.35351053,4.1089635
protein,1,10.013539,9.430036
cell,2,14.109413,5.543481
cell,2,13.876108,3.112521
patient,3,5.0643916,-1.9528433
drug,0,6.6528077,11.971711
drug,0,6.1708093,12.013363
patient,3,8.533295,-3.3084726
vaccine,1,7.297926,9.170869
vaccine,1,7.4852195,7.0134463
protein,4,10.422882,9.849715
patient,3,7.0323353,-1.0079951
sample,5,6.3166075,2.7268121
protein,0,8.951283,11.669889
sample,5,5.5023885,1.7928216
drug,2,11.499145,3.7960496
cell,2,14.421894,5.4129252
drug,0,11.434014,4.085224
drug,0,6.325333,11.958742
health,6,0.11258225,1.4573034
protein,4,13.254993,13.277952
patient,2,11.521695,1.7784489
patient,3,8.680787,-3.3868542
cell,2,13.205022,3.057192
health,6,-0.6586575,2.1217027
protein,4,11.351037,11.781709
vaccine,1,7.9413586,7.816514
protein,0,8.997145,11.673334
health,6,-1.0148709,2.4180868
sample,5,6.4645944,2.1856043
sample,5,4.3144684,2.7126734
cell,2,13.772552,3.482529
protein,0,8.952814,11.683513
protein,4,10.221587,12.991153
protein,2,13.745358,8.284733
vaccine,1,8.080729,7.2695217
protein,4,12.668718,13.1096
drug,0,6.1125164,11.988515
sample,5,5.3934336,4.3320994
health,6,-1.5324903,2.8853688
vaccine,1,8.668831,8.065683
vaccine,1,10.06257,6.5952473
patient,3,8.711324,-3.126937
patient,3,7.060762,-2.9808764
sample,5,5.7865806,1.1474925
protein,4,12.268044,12.971313
protein,4,12.726845,12.922546
cell,2,14.140878,6.865931
health,6,-0.56450945,2.0636063
vaccine,1,8.835752,8.181041
patient,3,7.199065,-1.3585079
cell,2,12.3467245,2.6428406
health,6,0.77863944,3.7615306
sample,5,4.75595,2.4219732
patient,3,7.603841,-3.1291509
patient,3,5.831231,-2.3139985
sample,5,4.9718432,2.2908459
vaccine,1,7.3764386,7.737192
vaccine,1,8.919921,8.264578
cell,0,11.909226,2.772578
health,6,1.2595518,0.5427121
patient,0,7.312118,-1.3732277
health,6,2.350792,-0.25638813
health,6,-1.931592,4.37206
health,6,-0.276622,4.119933
health,6,-0.047191065,1.5948498
sample,5,4.14119,2.4078987
health,6,-1.1889623,2.5242636
patient,3,3.9701846,-1.3101106
health,6,1.7381976,3.469354
protein,2,13.712258,8.424121
patient,3,6.0316567,-1.5966947
patient,2,11.76527,1.9263654
cell,2,13.400244,2.862725
health,4,9.925764,13.030271
protein,4,12.4926195,12.844412
drug,0,5.605031,11.211884
vaccine,1,8.489636,8.154467
cell,2,10.985673,6.0508137
cell,2,14.065858,7.2817364
health,6,-2.5470457,3.7882125
protein,4,7.481525,3.669277
patient,0,11.900272,2.4810617
sample,5,5.8416715,1.0602847
cell,2,14.247616,6.4021025
patient,3,9.102548,-4.0791144
vaccine,1,9.138713,7.0443964
protein,4,11.478481,13.020186
health,6,-0.5678765,2.1005166
protein,4,12.987141,12.909491
sample,5,7.1004558,3.2950702
health,6,5.6649055,7.421533
health,6,-1.7792755,3.2358348
drug,0,5.7510476,11.264824
patient,3,8.761836,-3.5173604
patient,3,9.247898,-4.2237177
cell,2,14.740546,3.7668593
sample,5,5.0896378,4.031424
sample,5,5.7490387,2.0416265
protein,4,7.180218,3.3622146
health,6,-1.6531239,4.085366
protein,4,7.309128,3.4446964
protein,4,12.965979,11.447795
cell,2,13.567977,5.029696
vaccine,1,9.281976,6.989255
sample,5,5.9690847,0.82000256
sample,5,5.970082,0.7926461
health,6,-2.063518,4.4392204
protein,4,13.092336,13.315562
drug,0,8.4598675,11.652943
protein,2,13.96457,7.6706333
protein,4,13.312344,12.866906
cell,2,12.750881,2.6141238
cell,2,14.445164,3.709197
cell,2,11.386709,5.792705
health,6,-0.52921027,2.0067668
vaccine,1,8.727036,8.124962
health,6,5.168459,7.3354087
cell,2,13.429995,4.307593
health,6,-2.2021973,4.1668468
patient,1,8.303895,6.019198
health,6,-1.5746555,2.9188633
patient,3,9.041162,-3.7383082
drug,0,6.1766334,12.0154
health,6,-1.6117053,4.6830997
patient,3,7.81161,-3.4854066
vaccine,1,6.7447233,6.085228
sample,5,5.392058,1.6473922
protein,4,11.483646,13.013884
drug,0,11.019699,3.8157425
patient,3,8.293929,-2.9694076
protein,1,9.796178,9.216232
protein,4,13.359611,13.490584
protein,4,11.274289,13.007426
patient,3,6.958784,-0.91201216
drug,0,6.9368734,10.268345
drug,0,6.0860415,11.82648
vaccine,1,8.169317,7.247538
vaccine,1,9.071933,8.438061
vaccine,1,7.6919494,6.9068236
cell,2,14.240134,5.5344353
health,6,-1.8130107,4.5824986
vaccine,1,8.47586,7.967628
sample,5,5.74364,1.962363
health,3,2.5887206,-0.42897162
sample,5,6.653907,3.2416666
protein,4,12.932805,12.642669
protein,4,11.839128,13.016734
sample,5,5.3623223,2.1243634
cell,2,13.88349,3.5156338
protein,4,10.808613,10.263307
health,6,-1.8888744,3.8824058
protein,2,13.423968,9.263823
protein,4,13.368359,12.970543
protein,4,7.327852,3.3869493
protein,4,13.340599,13.064059
patient,3,6.941683,-0.7783447
protein,4,13.608622,8.91692
sample,5,5.987342,0.7800003
protein,4,10.044621,12.988489
drug,0,11.403739,3.7424636
vaccine,1,7.7311363,7.4839487
vaccine,1,9.405155,7.056756
patient,3,7.530988,-1.9335757
drug,0,6.4034925,11.854616
drug,0,11.416732,3.9094958
sample,5,5.5056586,3.6967285
health,6,-2.0278027,4.107339
patient,2,11.681872,1.854854
health,0,5.108651,10.574221
cell,2,14.8714,3.554585
protein,4,10.021335,13.014084
cell,2,14.628229,5.090799
vaccine,1,7.116717,7.6553807
cell,2,12.785011,2.6479836
protein,4,11.860947,11.192407
patient,3,4.5438395,-1.6254882
patient,3,6.7911453,-0.5525775
patient,3,2.981025,-0.7026902
cell,2,11.584265,5.615256
protein,4,13.081377,12.703725
patient,3,9.261746,-4.2416964
health,6,1.3323333,0.489024
vaccine,1,7.8493814,7.8544736
cell,2,11.947361,3.6307268
health,6,-3.0343776,4.451432
sample,5,5.9260206,0.8876222
patient,3,7.409601,-1.7968147
cell,2,14.783613,3.6677148
protein,4,13.342501,13.48379
patient,3,8.596737,-2.4610465
protein,4,12.031914,12.48856
protein,4,12.6135025,13.306269
vaccine,1,9.52492,8.952908
health,6,-3.283491,4.763201
drug,0,6.1962366,11.931391
protein,4,10.387087,12.962166
protein,4,13.182506,13.100766
drug,0,11.521655,3.7432866
sample,5,5.4398217,3.2734346
patient,3,3.859244,-1.2579881
patient,3,3.7790802,-1.2035913
vaccine,1,7.874463,7.8789606
patient,3,7.245467,-1.4506569
protein,4,9.992438,13.012897
patient,3,5.235621,-2.033251
patient,3,8.60517,-2.7311828
drug,0,6.1850624,11.957111
patient,3,8.623897,-3.0198984
protein,4,13.25469,10.172138
health,6,5.6022024,7.4146013
health,6,5.668506,7.421213
health,6,-2.8976862,4.3552523
protein,2,13.969113,7.4704466
cell,2,10.552543,6.2427483
cell,2,13.724535,4.8948183
cell,2,14.409649,5.8250446
health,2,9.813148,12.914994
sample,5,6.4682612,2.809298
protein,4,13.44601,9.412095
health,6,9.769229,13.062365
sample,5,5.82419,2.6921365
drug,0,7.205019,11.720081
health,6,-2.466148,3.6970243
vaccine,1,7.079927,9.494646
health,6,9.040918,13.2932625
health,6,-2.2055123,4.190322
sample,5,6.0864124,2.6828303
protein,4,13.149236,10.487336
drug,0,6.2690973,11.751129
protein,0,8.369936,11.628108
health,3,2.7969248,-0.57380605
protein,4,12.971669,11.177621
health,6,-1.4953133,4.7339377
cell,2,12.364648,2.2998383
vaccine,1,6.6019754,5.854661
protein,4,13.320747,9.910886
protein,4,12.500212,12.955256
protein,4,12.437326,12.212135
protein,4,13.040142,10.821557
cell,2,12.366468,3.5804698
health,6,-1.3608553,3.4673958
protein,4,12.033208,12.475255
protein,4,13.360835,13.29694
cell,2,14.142464,3.87238
protein,4,12.840717,12.968723
protein,4,13.402978,11.761484
sample,5,3.5697253,3.0692577
cell,2,14.631607,3.921084
patient,3,8.709957,-3.279434
sample,5,6.51506,1.9594859
sample,5,5.802442,4.3912983
vaccine,1,7.595451,7.74211
cell,2,12.274379,2.5071604
patient,3,9.10386,-3.242725
protein,4,10.095894,13.019334
protein,1,9.95152,9.511266
vaccine,1,7.6548357,7.319016
health,6,-2.1400228,3.837429
sample,5,5.6898746,1.1282463
patient,3,3.8877292,-1.2909832
drug,0,10.852675,3.946348
health,6,2.1661658,-0.11913844
protein,4,13.50724,9.252066
health,6,-0.7347634,2.184607
cell,2,14.43026,5.724614
patient,3,9.157037,-3.3695397
protein,4,13.29383,10.020286
vaccine,1,8.847301,8.2101145
protein,4,13.209834,13.199383
cell,2,12.455718,2.350907
vaccine,1,7.5038013,8.696451
health,6,-2.216416,3.50157
cell,2,14.133638,4.3913198
vaccine,1,7.911147,7.638875
cell,2,13.16124,2.7688837
drug,0,10.999572,3.8582466
drug,0,6.295214,11.8020315
health,6,5.3616667,7.4055147
cell,2,12.070814,5.3145323
drug,0,5.273498,10.809037
sample,5,3.1473005,3.198984
drug,0,6.438428,11.533496
vaccine,1,8.007462,7.7843966
cell,2,14.137845,3.8358722
patient,3,8.59017,-3.6027808
drug,0,6.5633416,11.102659
patient,3,7.507376,-3.2925081
protein,4,13.442655,11.88236
patient,3,6.8813825,-0.73263603
health,6,-2.9450636,4.37463
health,6,-1.5770751,2.889679
protein,4,13.16252,13.221331
vaccine,1,7.556551,8.491433
drug,0,10.839344,3.9710798
vaccine,6,5.9778886,7.4796143
cell,2,14.150559,3.863174
cell,2,11.73185,5.543476
cell,2,14.07536,3.7561207
vaccine,1,9.684456,6.790022
sample,5,4.3514943,2.650532
sample,5,5.1630845,2.178483
drug,0,5.9250836,11.490286
sample,5,5.3038797,2.1559987
drug,0,6.225622,11.918896
vaccine,1,9.980074,6.6871285
protein,4,12.989128,11.171283
patient,3,8.411109,-2.6353335
health,6,-2.444561,4.127488
patient,3,7.231405,-1.7039273
sample,5,5.5148015,1.4455649
drug,0,6.512472,11.280278
protein,4,12.916067,11.124861
health,6,9.059128,13.287414
vaccine,1,7.0622787,6.4656286
health,6,-2.3290093,4.0780706
cell,2,14.05751,3.9668012
patient,3,7.666636,-2.1905777
health,6,-0.7342305,4.1605062
cell,2,12.179995,5.2415605
patient,3,6.7656407,-0.38080442
protein,4,13.291735,13.431396
sample,5,6.39553,1.9126815
patient,3,8.596801,-3.5027916
patient,3,8.346416,-2.9059463
health,6,-1.9139796,4.4184327
sample,5,6.104321,0.58940005
vaccine,1,6.798774,6.151569
protein,4,12.372389,11.862229
protein,4,13.246637,10.116937
protein,4,13.34341,9.7428255
cell,2,14.519644,5.5520225
protein,4,13.402058,11.826073
drug,0,5.466362,10.905276
cell,2,14.642336,3.9751596
cell,2,14.584746,3.7255852
protein,4,12.304431,11.575688
cell,2,14.663044,4.8154283
health,6,5.8595467,7.3258605
protein,4,13.257611,12.365065
cell,5,13.645681,5.5035543
protein,4,11.114471,12.136901
protein,4,12.087951,11.50889
patient,3,5.7291956,-2.2858217
patient,4,13.567268,11.526342
vaccine,1,7.313544,9.285837
drug,0,8.048137,11.634046
health,6,-3.1335015,4.5658617
vaccine,1,7.6494513,7.306309
drug,0,5.603612,11.222895
vaccine,1,9.414192,6.9305534
sample,5,3.2462142,3.2101648
health,0,-0.6994975,3.3033152
cell,2,12.170059,5.2709494
drug,0,11.189907,3.7622592
cell,2,14.854919,3.5492947
drug,0,7.871263,11.503164
cell,2,13.440849,2.8851132
health,3,2.4422195,-0.13904451
vaccine,1,7.5786376,7.7662544
drug,0,10.996561,3.8676844
cell,2,14.61934,5.19209
patient,3,8.5624,-2.5040154
protein,4,13.064126,10.799137
patient,3,6.2974453,-2.5601492
cell,2,13.720078,3.4617712
protein,4,12.968784,13.132167
patient,2,11.763098,1.9177109
health,6,0.91919845,3.6962595
sample,1,6.7454205,5.872762
protein,4,10.830451,10.261553
sample,5,5.8423367,3.32664
cell,2,14.654033,3.6212158
health,6,-1.4465225,4.7437096
sample,1,6.538652,5.785763
cell,2,14.740769,3.7848234
sample,5,5.7859178,2.9652736
vaccine,1,7.955182,9.170468
cell,2,14.056644,7.3677926
health,6,-0.681372,4.1762896
patient,3,7.0847206,-2.9988806
health,6,-3.1134338,4.5550065
cell,2,14.670724,4.602977
protein,0,8.972033,11.67175
protein,5,7.1283326,3.422728
health,6,1.4016398,3.552596
patient,3,7.322383,-3.0875988
patient,3,6.988504,-0.97326535
vaccine,1,6.754803,6.147461
health,6,-3.017934,4.4531198
patient,3,7.4464803,-1.8167311
health,6,-1.9534062,3.769388
drug,0,6.4029403,11.56419
health,6,1.2261288,0.5737742
health,6,-1.5536196,3.963319
patient,3,8.255408,-3.0382948
health,6,1.1834599,0.6071403
patient,3,6.2552376,-2.1457767
health,6,-2.8153582,4.338397
vaccine,0,7.135214,9.644625
patient,3,8.766854,-3.8412013
vaccine,1,8.741473,8.000521
patient,3,7.278624,-3.1303303
cell,2,13.847144,4.0842547
cell,2,14.168553,5.638248
cell,2,12.426421,2.3910244
drug,0,6.993313,10.097841
cell,2,14.3529625,3.528674
health,6,5.7618394,7.4061866
cell,2,14.559342,3.7661884
vaccine,1,9.281465,6.9762344
health,6,1.0451281,3.65723
patient,3,4.7811055,-1.7876635
cell,2,14.266724,3.8081021
sample,5,6.3902063,1.9474413
health,6,-0.5981623,4.0687714
vaccine,1,7.130935,6.558083
cell,2,14.775128,3.6792645
sample,5,6.486323,1.976692
protein,4,9.930404,12.97766
cell,2,13.346597,2.9363108
health,6,-0.1470358,4.0525966
patient,3,5.428649,-2.1200354
vaccine,1,8.980256,8.322642
drug,0,6.3482084,11.621958
cell,0,11.709058,3.7085605
drug,0,6.569595,11.977153
drug,0,7.6042266,11.583943
vaccine,1,7.0779724,6.497129
protein,4,10.458894,9.892088
patient,3,7.476937,-3.2525086
cell,2,13.648043,5.031394
health,6,-1.07587,4.3503213
patient,3,8.193084,-3.4191892
sample,5,5.7990746,2.2436674
sample,5,5.236351,2.0760055
drug,0,10.956126,3.8787606
vaccine,1,7.4176564,8.979038
sample,5,4.7889585,2.7304037
sample,5,6.6810484,2.026421
sample,5,4.393469,2.6391382
vaccine,1,7.8413105,7.876552
protein,4,13.01107,10.874103
sample,1,5.254871,4.1394405
vaccine,1,9.607129,8.726232
vaccine,1,6.207996,7.433924
health,6,-2.5982785,4.1668887
sample,5,7.040967,3.2668402
cell,2,14.176168,3.5455437
patient,3,8.883295,-3.567163
cell,2,14.743777,3.640175
protein,4,10.691887,10.124068
protein,4,13.449695,11.830783
vaccine,6,5.867331,7.391606
protein,4,12.33641,13.17472
cell,2,13.470299,3.395645
vaccine,1,7.4769387,8.819258
drug,0,6.9117885,11.672018
sample,5,6.550176,2.8506074
cell,2,13.694553,4.1686087
patient,3,6.8433046,-1.390754
health,6,-0.3797052,1.8684913
health,6,-2.2717867,4.1275725
cell,2,13.074418,2.7283225
patient,3,7.2268867,-3.1065807
health,6,-1.3547263,3.8921444
vaccine,1,7.730042,6.8071966
health,6,-1.2426257,3.7810633
cell,2,14.052912,7.113486
protein,4,7.456645,3.6413133
vaccine,1,6.6384273,5.945876
patient,3,8.582388,-2.4198966
cell,2,12.951734,2.6613007
protein,4,10.550535,9.974614
protein,0,9.86523,9.864519
health,6,-2.301431,4.169198
sample,5,5.6862917,4.1468697
sample,3,6.5149736,-0.012474119
health,6,-1.3191257,3.8113909
sample,5,5.782249,2.4250715
protein,4,13.50542,9.195515
sample,5,5.7088223,1.8286651
patient,3,6.6366835,-2.0045166
patient,2,11.698828,1.88255
sample,5,5.1893406,2.1218991
protein,4,10.599267,9.972675
sample,5,3.3784924,3.1136758
sample,5,6.2686973,1.9409896
vaccine,1,7.1715446,7.6739817
cell,2,11.870962,3.6545258
cell,2,12.215914,3.6174977
patient,3,8.79623,-3.874413
sample,1,5.9418206,4.1435285
health,6,1.6009377,0.29793435
protein,4,12.856351,12.008887
protein,4,13.619791,8.826231
drug,0,6.4190025,11.355482
cell,2,13.644552,3.5428107
sample,5,5.37347,2.1690464
vaccine,1,8.143183,7.132308
health,6,1.4759841,0.37059194
