paperId,year,fieldsOfStudy
dbf76534e0b330bb0f155296e251c1e7031c90c0,2016.0,['Medicine']
ce728a87a4f429de392550e53d0413fedaa6c359,2012.0,"['Medicine', 'Biology']"
e447d139f1d046120a293f1219944e82c77bc829,2016.0,['Medicine']
bc0884983de5e6958b432cb7087ffe885f01ac99,2016.0,"['Biology', 'Medicine']"
97699e1e790ab279013460ac4478cc6b9832d2e1,2016.0,
945fd47a82b49774675d732d27f6b806c0e6aeb1,2016.0,"['Biology', 'Medicine']"
2e28d846c5181c13e9ff54ef725fb009dd966b47,2016.0,['Medicine']
d382c7bcdad46b1b86649fc9d209b750902a2cc7,2016.0,"['Biology', 'Medicine']"
7ba06e5c566af08208ee7d87cc8a0d6c2b772b9e,2016.0,['Medicine']
30fa84a937ffc6956478fdee983e1cf6aa23810a,2016.0,['Medicine']
30fa84a937ffc6956478fdee983e1cf6aa23810a,2016.0,['Medicine']
d3faa41624a8a99e5f600923cbe61fc457fb76a6,2016.0,"['Biology', 'Medicine']"
962c3880e4fee95b974d6d754a568278cc72e6d7,2016.0,['Medicine']
023858d3191988a37587ab951db561a3db3ae2cd,2016.0,
f39671c6a9f5a19d6db58094f4a8f07f6e036085,2016.0,
1699f74dc5e3e5ee7417778d18f7f5a46fb7c879,2016.0,
9a679e9fdf3590b7f9204c3dc3ff6307c3d4642b,2016.0,['Medicine']
8a58dd3509470bd8a8a25fa473991ca6681066d9,2016.0,"['Biology', 'Medicine']"
b4ced0e08f5b03e84a5addaaf3557b3cdc1ef277,2016.0,"['Biology', 'Medicine']"
d90382cb2b05e6761cea35d274213ee4f5c0cd02,2016.0,"['Medicine', 'Biology']"
285200f4b9ceb79fcd66d7b378ecf4d51459767d,2016.0,"['Biology', 'Medicine']"
2aabf3a6ba52bfdd83a884673fd6e48c67b8727b,2016.0,"['Biology', 'Medicine']"
c8ca3a5306db10a7842b853031404ecbc0a363ed,2016.0,"['Medicine', 'Biology']"
3c51c5a11684d15c9f3d39dc99b0fdf9f7a73847,2016.0,['Medicine']
3660a0a14f82558378797b8a86fb7d0854bd1ab4,2016.0,"['Biology', 'Medicine']"
e2fa938ab20a89b4f99264d25479f7db65386b75,2016.0,['Medicine']
fd4f419edc4e7a9ee255ea3bdc5b458a86ae4ab3,2016.0,"['Biology', 'Medicine']"
e071430eb92a5cfa31d8d3c0eec25cbc3033d37d,2016.0,['Medicine']
52bf83ff771d92f697a4ab0cfe70a99503940050,2012.0,"['Medicine', 'Biology']"
c0625c25343a85d598a948510e7cc950e06dc3a3,2016.0,"['Biology', 'Medicine']"
47d93c4d0e435b2da5ebc11b4404ed209447f5a0,2016.0,['Medicine']
0bdae8c38f570965cc9a630a44b7089c2a5da0ed,2016.0,"['Biology', 'Medicine']"
06525dbe27937be0f8263a0e8ec743f68d9f1795,2016.0,"['Computer Science', 'Medicine']"
a0444a2148ffe99348088aa7c04e21dcea70d602,2016.0,"['Biology', 'Medicine']"
4cfaea8e65d7e5f6884cffa4055f7f0b48ca164c,2016.0,"['Biology', 'Medicine']"
50adcf9bfee16b95201df9fdcc9dcf30c1f8ea6e,2016.0,"['Biology', 'Medicine']"
6f66ba164fba7cd9449ae02d511e2ae8c32b53e4,2016.0,['Medicine']
3a3f6432720ee29bab7504321d2386a9ae1c5e7f,2016.0,['Medicine']
ebbe2e390320b9cd9399ba2e7d011df6e953971e,2016.0,"['Medicine', 'Biology']"
8e96ff3220b7201598d2c5099ff9a4d03e529b3b,2016.0,"['Medicine', 'Biology']"
34c60b33c493dfe1545112d9f4b1107576f11dbd,2015.0,
0eff8cb176dc1e97612266b1ed94badfeab4e575,2016.0,"['Biology', 'Medicine']"
1af8d169cf2d572b46f2b94b1e83c66686973297,2016.0,"['Biology', 'Medicine']"
db5333b01a10f165ae516d30f9d1fbf96ab4b841,2016.0,
42bb18ca1f49d74b80f2bab85b3878cade647b08,2016.0,"['Chemistry', 'Medicine']"
87154b31b741f39ec7e34f3590f80b9a01105e33,2016.0,['Medicine']
f585f6180d2e3f92c0833f00b2ac5f2a451b9585,2016.0,"['Medicine', 'Biology']"
7fcbdac915f32c243a9c8bc7cc086b2ac65416af,2016.0,"['Biology', 'Medicine']"
bf001dd7a7e2e974fa974607ccbcd9a2de960d2a,2016.0,"['Medicine', 'Biology']"
ec9755d0db388d8a9066baffc9fd33bdf24f5bac,2016.0,['Medicine']
365ab3e4ca40537484abf16d4d33d88f63635404,2016.0,['Medicine']
97472ef04ad420815a0fa19076162835fad47af4,2016.0,"['Medicine', 'Biology']"
d29ac40afbb28f3dff1d4923aae6c01299399334,2016.0,"['Biology', 'Medicine']"
2ca39f3627583a75a4cd19f770b697714a89b686,2016.0,"['Medicine', 'Biology']"
441656e0f7eea90edc2e3cb7e72d362b55e97ce3,2016.0,"['Biology', 'Medicine']"
09242b23825a9c7e09660df99494b673e5abea3e,2016.0,"['Chemistry', 'Medicine']"
c760ba658ba0d10b96cf738e04f83f22bd15f3a3,2016.0,"['Biology', 'Medicine']"
b293192e82a70515cb199bca870a9fe2ca9b081d,2016.0,
0ddcfc9bedfb0a87a7221dd2448bd41d3ba9cc51,2016.0,['Medicine']
73fcc68f1fe5bf9cae21d939f459968ebed64411,2016.0,"['Medicine', 'Biology']"
e0111854ce52152339b685712b1a2843e3f1b839,2016.0,"['Biology', 'Medicine']"
9033d46664d7ded6d2cd79ddb75c2c36beab4802,2016.0,"['Biology', 'Medicine']"
708d6d5634f6532c5108303dd52eedb93a6f9b80,2016.0,"['Biology', 'Medicine']"
ab4c508f4a6ff84276581ce0746b4a5768728d0f,2016.0,"['Biology', 'Medicine']"
ab70ed497469460f2ec13fcfe51611005fab867a,2016.0,"['Biology', 'Medicine']"
b8a55c284d17093b3d9c033f5c74633f47aaabe3,2016.0,"['Biology', 'Medicine']"
258d91e642be13056ce5435a804ee37da97cc853,2016.0,"['Biology', 'Medicine']"
95fe188a9b1cf653eeb2060a087572e0a5c79db9,2016.0,"['Medicine', 'Biology']"
233cb856eb58c6ad37baf2465e991437f4d7496d,2016.0,"['Medicine', 'Biology']"
054c5d64439836af0c58d1250734eb5a9ee97009,2016.0,"['Biology', 'Medicine']"
18d6b41f2b9f5cad93519eb39f422f7f008a4ed3,2016.0,"['Biology', 'Medicine']"
6908a089fea0a7345e066dfd10462507601d88eb,2016.0,"['Biology', 'Medicine']"
714e40f88f6e629f0f63574ec52ea967aeee4065,2016.0,"['Biology', 'Medicine']"
84bb5b317c837c22b090bc10357a3542f58402bd,2016.0,"['Biology', 'Medicine']"
4a8a6f65da6c9eca4117de59c6377a0ff02a0d09,2016.0,['Medicine']
4fcb098e746e236ebc700fc79262c3263550b3d9,2016.0,"['Medicine', 'Biology']"
109a7800d93fdf2a2c64a261aab1182dd5b607af,2016.0,['Medicine']
31c0ee2b6dff1699d251316667c0b56c7b8f09a3,2016.0,"['Medicine', 'Biology']"
2618f1868d3eaf92f7f306467b9c8d91ec7572ba,2016.0,"['Computer Science', 'Biology', 'Medicine']"
a280d2019f9957487f81e4c5cf2d94a2a2f391a6,2015.0,['Medicine']
7acba31dde3af3dc1bedbde1c8167ad802fbf43e,2016.0,"['Biology', 'Medicine']"
33ea4b0a6cf8322aa2080c652684cb8ed11f9148,2016.0,"['Biology', 'Medicine']"
7e144b9d4db974e0658bd2e20dffd6c14c43f91d,2016.0,"['Medicine', 'Biology']"
ac7d8fb495888876f03df56a1d3a3faa1f05e770,2016.0,"['Biology', 'Medicine']"
01bd8b88de360a9eac30b442ce43bebe486242a3,2016.0,"['Medicine', 'Biology']"
a3ff62cdc7cd33bb6618950b28fe649bf95ef6de,2016.0,['Medicine']
3a8c6a1683a063b6fc3c1bd689ff9c1b83723b4e,2016.0,['Medicine']
96cd80ad6f658fdc8b0d5e8ce4e1eb1f1daa87f5,2016.0,"['Economics', 'Medicine']"
223eec50622c3b0a60c87962c077f56c8a6a3c84,2016.0,"['Medicine', 'Geography']"
7bc58bab01bad4c9152c6fcf53530067226b7b80,2016.0,['Medicine']
04299cd1ecb45c984de64da12daf3ccc1fe2abe2,2016.0,"['Biology', 'Medicine']"
2fc76c1df479748cdca7b9ed7c0738480bb03988,2016.0,['Medicine']
6a5ec0f5b18ea19bc152ad79a1b72043385a8f3f,2016.0,['Medicine']
4a4829a678305f54711666d194597971627c7b48,2016.0,"['Biology', 'Medicine']"
d24a70c5203617db24e9777727d824bcad5597c7,2016.0,"['Biology', 'Medicine']"
50aa5eba3f398675c8f3c53a819aca7fb8b4af33,2016.0,['Medicine']
5b15c62ee761d6eefeb7d2ef023f804bfdc41edc,2016.0,"['Medicine', 'Business']"
2e98be950f6af6fc3186edc8b591d5bf814e5690,2016.0,"['Psychology', 'Medicine']"
bf0bd7e3007cf87a4907ecf1bbf819d28e5c3c63,2016.0,"['Biology', 'Medicine']"
a48482a6bd5e78f140777702151cffe852ea5f1e,2016.0,"['Biology', 'Medicine']"
7f19f24ae47fcdde3ce5a708f21d5736dcdca9fc,2016.0,"['Medicine', 'Biology']"
ac793b3e925f08bf9fac41b70e5c9a61d1f37e39,2016.0,"['Psychology', 'Medicine']"
2de6a63fc957bb75db137684f1a6376c58f22754,2016.0,['Medicine']
17334b138ba80214847f144ebc57ce27ff9c23cf,2016.0,
913e8bcf134a8415f7aa9d3285e15e1425a60d26,2016.0,['Medicine']
d2b714f43fa6302301a1aa7d282de555f71024b2,2016.0,"['Biology', 'Medicine']"
e3fe1b272c977754c55719ab93e90ecb0b9472d5,2016.0,"['Biology', 'Medicine']"
a51a3f793ea6a59523eff2c0fe6555b729840084,2016.0,"['Medicine', 'Biology']"
88c857a0bce67f10751575e8fc109a8ce343516e,2016.0,"['Biology', 'Medicine']"
467143e07e3d6ec8a0617a5bdee446ab2c63581c,2016.0,"['Biology', 'Medicine']"
33bfc254b350a34f254ea0c56d349ddae719048b,2016.0,"['Biology', 'Medicine']"
9a13ccd6be3536af404c25e748c34eac997c5d16,2016.0,"['Medicine', 'Biology']"
1329ea9b040bdc8af7c30f7ba4b5755e352deae8,2016.0,
3ffbfd830866da783025127480ae3d3ed216670d,2016.0,"['Medicine', 'Biology']"
283047560dd3e30f1161338e0f4f2fcc335328f1,2016.0,"['Biology', 'Medicine']"
729e5d420ec1a80d31928dc8bb261610a93aa890,2016.0,"['Biology', 'Medicine']"
2bf72671f78524129acb86ceef6c598e10c7daa7,2016.0,"['Medicine', 'Biology']"
d9c950cf19a2048596a6e143471fb2d0c009d8f0,2016.0,['Medicine']
ebf7e1110aa56a3066f9590befe475eb12b3eaa1,2016.0,['Medicine']
a4ee11dba58a0b0c6566a1fac060b4329bcdc8cd,2016.0,['Medicine']
2c7f8c9a78ec06b29ea61f2dd02730d2c3af1cfb,2016.0,"['Biology', 'Medicine']"
77907b0bbf75ae10794ca69d97b9874159db1857,2016.0,"['Computer Science', 'Medicine']"
59aa9bb3f9591e8803fbe3a43a7e0e77c1553ab9,2016.0,"['Medicine', 'Biology']"
