paperId,year,fieldsOfStudy
5e3b24f55fdc84cfc263d4784c6ad6349d212866,2012.0,['Medicine']
a4093c0ca495b4cace5c5f05815c1bfeca6c45f3,2012.0,"['Biology', 'Medicine']"
1204dc3b147d4e4d5ccc3d4aff7551d39f5fe438,2011.0,['Medicine']
c47b1bf314263894ae9a5589303b7af810741267,2012.0,['Medicine']
c24570f542d59b0d17450b1bd83c708f9401ca9c,2012.0,"['Biology', 'Medicine']"
209fd978d66d8ffe04712de07dc7e07b779baa08,2012.0,"['Biology', 'Medicine']"
aa2d1de5f5f45ad793fffda7679200d35e971b4f,2012.0,"['Biology', 'Medicine']"
b0889b0058183e21ed81e8b41414fd4cc450ce84,2012.0,"['Biology', 'Medicine']"
bf0d9878dc0f853417e1a394834978f9b4e861a1,2012.0,"['Biology', 'Medicine']"
324224a860eb73492e4207926e5ea62cd1a910d9,2012.0,"['Biology', 'Medicine']"
ee7342b1efb332f0f2f104396e8866db68c105f5,2012.0,"['Biology', 'Medicine']"
e8844c3bdb0a30d4b93fc86c6771c0ce893414e2,2012.0,"['Biology', 'Medicine']"
3ff6efe7c6b60b6202aa5f1139d07d673e4f559e,2012.0,"['Biology', 'Medicine']"
c5696b8c4fbf768b06482618b8ba11002fda7606,2012.0,"['Biology', 'Medicine']"
18f11e6900b1a76027c33f5e61ae9cb66d7d2370,2012.0,"['Medicine', 'Computer Science', 'Biology']"
599be9828fd5c11926e88c8474f37f67f1fe4ebc,2012.0,"['Biology', 'Medicine']"
d3691b16aab8e1f55926adc99e5dee774c49d6cb,2012.0,['Medicine']
e11512bdc7871914c25d4ba5b098979d34123c34,2012.0,['Medicine']
a94e4109b44346c490243c71fd533cd1a9fd047c,2012.0,"['Biology', 'Medicine']"
d72f03eec78eeca40e792156e51be56e8d2af95e,2012.0,"['Medicine', 'Biology']"
b3cdc544c924054c54eac3b1b9bc53217c61d65d,2012.0,"['Medicine', 'Biology']"
0e5c57371f4f2cf8e3d56871a391c25ee43aaa4f,2012.0,['Medicine']
78903e16896f1d4ebdf25ca9860960cf56ed621b,2012.0,['Medicine']
17c6440384416c1f23866f96975bf865a8a9efb3,2012.0,['Medicine']
bcd9208e1cff6a9d5e3af17745299ceea1479529,2013.0,"['Biology', 'Medicine']"
45edbd85cb93950fecbc8da86f684a9e45c1d8f1,2013.0,"['Biology', 'Medicine']"
ef89368854cda5eec42767325e31ac78ee4738a5,2013.0,"['Medicine', 'Biology']"
16eb672447620efa83aa59f913d690a95240f488,2013.0,
2d5fdcbc3c2b82ecef0748012b73fc1aa7a2ad96,2013.0,"['Biology', 'Medicine']"
2e32842d3ebcee3ffaf4b6822dbac0f41f82130a,2013.0,"['Biology', 'Medicine']"
f7d563d0ad0911aec89439dac8ec1621a6807acc,2013.0,"['Medicine', 'Biology']"
bb7718e2a9a390578e8d3f5ea081f08d3fd17185,2013.0,"['Biology', 'Medicine']"
4eb100cb99d5f9ba55b539cf846c005aebe97993,2013.0,['Medicine']
ff0f7e194414068e2757fce1b8b3a83c9fd1df33,2012.0,"['Biology', 'Medicine']"
a52d50dfd4d16c0dc002094649bd01e27c7dc5fc,2013.0,"['Biology', 'Medicine']"
2aaf06eb09d8452a64779300ace04fa705726b56,2012.0,"['Medicine', 'Biology']"
0043d044273b8eb1585d3a66061e9b4e03edc062,2012.0,['Medicine']
9a194a16a88f7ad30b44d2e7c83dce2f1b220837,2012.0,['Medicine']
4cd38b7621595a79ecba5e47365f561af1a32efc,2012.0,['Medicine']
90483d9b5bb470e440d72306b2d1c86110c0e45b,2012.0,['Medicine']
244f677ded575b9e079df15ee9ff8539bf5a300f,2013.0,"['Biology', 'Medicine']"
59a11e8976b666ba112da942d7ba7c698d06a9e8,2013.0,"['Medicine', 'Biology']"
fdd06eeb020a963754fee36852a5918a93f7856d,2013.0,['Medicine']
c59d6e789176b928523129adb96ca495720a3b4a,2012.0,"['Biology', 'Medicine']"
0d8e33ec08dc9e4d7efd27c5159b01f20f8d572e,2012.0,"['Medicine', 'Biology']"
29da5f5d00af5c47f9b3a0a49d561f8caffb0cf3,2012.0,"['Biology', 'Medicine']"
a0d73d877a6bcede67ac884d7e5ada5dd3eb810c,2013.0,"['Biology', 'Medicine']"
56cde69c49cb0f2d0b73970fe35aad240e9fc7da,2012.0,"['Biology', 'Medicine']"
54cbbaf44335fdc1995cb19e5a08779929fd0966,2013.0,"['Medicine', 'Biology']"
de22df7c68cc8f64265c0a26ef9f2acd53520ef6,2013.0,['Medicine']
30e7b83e4fb282fecb8344e4d78fdc4347b22c23,2012.0,"['Biology', 'Medicine']"
846c1e41306c2d58105e01b0ae86c34fb6962e7c,2013.0,"['Medicine', 'Biology']"
5e11e3105842cf7cedf10e26bff170a52c23cf00,2013.0,"['Medicine', 'Biology']"
77300d7a1a8f1ca2b009bf67e9b3c4d67cb64241,2013.0,"['Biology', 'Medicine']"
e337e97a91d2b8666002d7aa6f7aef7e6de9bb99,2012.0,['Medicine']
884b19f49da8930b2222b5669f387ed974d1f3f3,2013.0,"['Medicine', 'Political Science']"
0ca675e1d62eeff5188b3cfa32f4cf16ea634dc4,2013.0,['Medicine']
698a52a0b042c8b5ff38592ce01bc82537661797,2012.0,"['Biology', 'Medicine']"
d853ee00c518714a942b602557bc107d3337c44c,2013.0,"['Biology', 'Medicine']"
2d80d61c0781bb9bb6b45e1a6360d2a19ea9de30,2013.0,['Medicine']
34e4b49c46c5462089f516983eeb19a6aff69d01,2012.0,"['Biology', 'Medicine']"
662f3e2e31e55530a74419157b41ab64fce2eb85,2013.0,"['Medicine', 'Biology']"
19dcbc62263225d430f506aa5745d23a66543de8,2013.0,"['Biology', 'Medicine']"
5efae4eb4c986da7483e7628d420be2a29df90d0,2013.0,"['Biology', 'Medicine']"
b642bc6cdf1cd5dba6cee9378d44eee04bf765f9,2013.0,"['Biology', 'Medicine']"
cb1f2d859423a65e5a3767cdf0e87c9a205e9123,2012.0,['Biology']
4b92357afea168410a305eca0e593b7955f08598,2012.0,['Medicine']
05b8deee7f76cda7511eb605e2ba84a8f46bc10f,2013.0,"['Biology', 'Medicine']"
a31ae2d95b283ef7da701d343b992b25afa779d8,2013.0,"['Biology', 'Medicine']"
04fa24d6f02d6b2fd44a0cb7aa2a7e7149e6cacc,2013.0,"['Biology', 'Medicine']"
5739f33d00bed835fb29dd26757a04faf48905a5,2013.0,"['Biology', 'Medicine']"
e005630bf0183fb7a78efa065c0c545922d27009,2013.0,"['Biology', 'Medicine']"
f573501efb2961e6a3d99c3def89dd871a4238f5,2013.0,"['Medicine', 'Biology']"
fad5ae4bfb2d3463a2cb6eb1691329eb19a8d6dc,2013.0,['Medicine']
60e49bb744eb678ae1ac1fb9bb920a5b01954041,2013.0,['Medicine']
48b9006bf7710b503454aee830f32821b74a4f54,2012.0,"['Biology', 'Medicine']"
517be37c636be836ced0c6e6dffaf2cfda10da56,2013.0,['Medicine']
1449e7aedd623536a61d71bf1505622093774208,2012.0,"['Medicine', 'Biology']"
4f380911a4cf1b78dce1c016c1c0cc2f95a15f7b,2013.0,['Medicine']
60a245c6a3289063ba0d08c4e01b4a70763a5738,2013.0,"['Biology', 'Medicine']"
da284bc0d5d74602b201a169fb7a0392eef5b6f8,2012.0,"['Biology', 'Medicine']"
70fefc54856d09f01cb983932a860dc4dacb9f46,2012.0,"['Biology', 'Medicine']"
d83f139be90bb5a482ac8b22f50e1a011c81c753,2013.0,"['Chemistry', 'Medicine']"
4152ae12ac49d157a290281842bce9e9d16096a7,2012.0,"['Biology', 'Medicine']"
13b5d53ec1bdeee349441d4905a964f0c43cd622,2012.0,['Medicine']
1e863993819f87abe5cee255ccb97d623838542a,2013.0,"['Biology', 'Medicine']"
b56530aac7a79b8959aa814102f3959a751ed4e2,2012.0,['Medicine']
db5d4d312d002e6bdc87f433d1ad118681167016,2013.0,"['Biology', 'Medicine']"
29ca261e7b44a4d41c7988816e09d13a2ba941de,2013.0,"['Computer Science', 'Medicine']"
e723d04de06838120b53450caa77919b97cccf5b,2013.0,"['Medicine', 'Biology']"
