paperId,year,fieldsOfStudy
c0de9d0fcd1d7f778c11f42fd399f6c0cc5e7a4b,2016,"['Medicine', 'Biology']"
534bc15ce844653ae863844b86d4ace2b98d42a3,2017,
1174cadd31854c1128f0bbf2a61d31b2b72f61c3,2017,['Medicine']
644979755526ea0ca2ce4990c87f0dd9342aaf89,2017,"['Medicine', 'Biology']"
c29e836db0541b34ffaf6a75c8b7079fd98220d8,2017,['Medicine']
7cbf56502db60d62b5255c560670ef9ced099c30,2017,"['Biology', 'Medicine']"
e9d56e6fe896a4d8690113fa0b5a38e1cb5179cc,2017,"['Biology', 'Medicine']"
cd4ff4fb38c545a94d9c54e2f2c8dfe61ea32ec7,2015,"['Medicine', 'Biology']"
70748788b2a175a08f02878c528efbd024a45064,2016,"['Medicine', 'Biology']"
29f305ed687e42fc04b6707fbcc31d95f5588ab7,2017,['Medicine']
827a3261fc59a9586a2395ee6dce8e28af2c95da,2017,"['Biology', 'Medicine']"
97f1fe02cd9244df3c903856dcb615d9fb6ec02a,2017,['Medicine']
ff2b36ea32d849a577ae66637bbe359f108f35d8,2017,"['Geography', 'Medicine']"
ec057f679419810619852bd937fdab879a30e1ba,2017,['Medicine']
d88f624f01818fdcfb1ab2c5b25bc4e79af249fe,2017,"['Medicine', 'Biology']"
0d76724747e4dd9c957017bb1dd628f087f652a3,2017,
e7124df42078edba08ccba1b033dffb0a36f6305,2017,"['Biology', 'Medicine']"
9809fd94325b39bffb3a2414a3d7f3e1429fa539,2017,['Medicine']
ce5994bd1dd2f2cdb74eb347da976596648d8756,2017,"['Biology', 'Medicine']"
e90d316cde320ab2cecb088c9242a9ef3766718c,2017,['Medicine']
a9467bbfc6a67f8a76ac8242a14207676d03c041,2017,['Medicine']
d020e92e15c3279ff2aa97aa969b2d1159435acf,2017,"['Medicine', 'Biology']"
be99996c561fe43928f9914548fcd3a49563ade0,2017,['Medicine']
1039a57c4d17c0c4eebcff505014cb5f11917cf1,2017,['Medicine']
7ed1dcfad7266bfda122685c0009ec526f77909f,2017,"['Medicine', 'Biology']"
c4b7ab00946639c33eebee571e31d74e2543de95,2017,"['Medicine', 'Biology']"
671f1c2956296e84da394af512513ea165882eba,2017,['Medicine']
de207527ab4b8826e6e8901d63e768c19691b178,2016,['Medicine']
2264a7f6a968665b70a4a06c73e096e0710fc3f0,2017,['Medicine']
e6d560c0ed2c420b3ca34de569c8a46d3722e2da,2017,['Medicine']
026447f6e8f25d774926c5f38f8c8ae1f62aa54d,2017,"['Biology', 'Medicine']"
7a6e0d1d7e1a31f6107a62a0030818b766a00dd8,2017,['Medicine']
a81f08700b297b78c8f255c4a428f2675ca45ef9,2017,"['Chemistry', 'Medicine']"
a408f9ac5df72db1ee1ee3715c812e1d2c743f4a,2017,"['Biology', 'Medicine']"
e82ba9e974533050afb3bc9a7a6a355e024caa10,2016,['Medicine']
e2b925665c7712a947376e5435c9cfe7571c7bab,2017,['Medicine']
